year,exam_stage,subject,topic,question,difficulty
2023,Prelims,Environment,Biodiversity,"With reference to 'Agasthyamala Biosphere Reserve', which of the following statements is/are correct? 1. It is located in the Western Ghats. 2. It is a UNESCO World Heritage Site. Select the correct answer using the code below.",Medium
2023,Prelims,Polity,Constitutional Amendments,"Which of the following is NOT a feature of the 42nd Constitutional Amendment? (a) Addition of Fundamental Duties (b) Addition of the word 'Socialist' in the Preamble (c) Extension of the term of Lok Sabha (d) Introduction of the Right to Education",Medium
2023,Prelims,Economy,Monetary Policy,"With reference to the Monetary Policy Committee (MPC) of India, consider the following statements: 1. It has six members, three from the RBI. 2. Decisions are taken by majority vote. Which of the above is/are correct?",Easy
2022,Prelims,International Relations,Multilateral Forums,"Consider the following pairs: Organisation — Headquarters. 1. SCO — Beijing. 2. ASEAN — Jakarta. 3. AU — Addis Ababa. Which of the above are correctly matched?",Medium
2022,Prelims,Science & Tech,Space Technology,"Which of the following statements about India's Chandrayaan-3 mission is correct? (a) It was India's first lunar mission (b) It achieved a soft landing near the lunar south pole (c) It was a joint mission with JAXA (d) It carried a rover named Pragyan-2",Hard
2022,Prelims,History,Modern India,"The 'Doctrine of Lapse' was introduced by which Governor-General of India? (a) Lord Dalhousie (b) Lord Cornwallis (c) Lord Wellesley (d) Lord Hastings",Easy
2022,Prelims,Geography,Physical Geography,"Which of the following rivers originates from the Amarkantak Plateau? (a) Mahanadi (b) Son (c) Narmada (d) Both Son and Narmada",Medium
2022,Mains,Polity,Federalism,"Cooperative federalism has become more important in recent times. Identify the issues that have led to this and explain how the Constitution has mechanisms to address such issues. (250 words)",Hard
2021,Prelims,Environment,Climate Change,"With reference to 'carbon credits', which of the following statements is/are correct? 1. Carbon credits are issued by the UNFCCC. 2. One carbon credit is equivalent to one tonne of CO2. Select the correct answer.",Medium
2021,Prelims,Governance,Government Schemes,"SVAMITVA scheme is related to: (a) Mapping of rural land holdings using drone technology (b) Providing health insurance to tribal communities (c) Digital literacy in rural schools (d) Creation of micro-irrigation networks",Easy
2021,Prelims,Economy,Banking,"Consider the following: 1. Small Finance Banks 2. Payment Banks 3. Regional Rural Banks. Which of the above can accept demand deposits?",Medium
2021,Mains,Economy,Infrastructure,"What are the key issues in land acquisition for infrastructure projects in India? Suggest measures to address them. (250 words)",Hard
2020,Prelims,Polity,Judiciary,"Which of the following statements about the National Judicial Appointments Commission (NJAC) is correct? (a) It was declared unconstitutional by the Supreme Court (b) It was constituted under the 99th Constitutional Amendment (c) Both (a) and (b) (d) Neither (a) nor (b)",Hard
2020,Prelims,International Relations,India-US Relations,"With reference to the US-India Defence Technology and Trade Initiative (DTTI), which of the following is/are correct? 1. It was established in 2012. 2. It aims at co-production and co-development of defence technology.",Medium
2020,Prelims,Science & Tech,Biotechnology,"Consider the following statements about CRISPR-Cas9: 1. It is a gene-editing tool derived from bacteria. 2. It can be used to treat genetic disorders. Which of the above is/are correct?",Hard
2020,Mains,Environment,Environmental Governance,"Despite several legislative and institutional measures, India's environmental governance faces serious challenges. Discuss, with specific examples. (250 words)",Hard
2019,Prelims,History,Ancient India,"The 'Arthashastra' of Kautilya mainly deals with: (a) Religious philosophy (b) Art and architecture (c) Statecraft and economic policy (d) Military strategy only",Easy
2019,Prelims,Geography,Economic Geography,"Which of the following is the correct sequence of states in descending order of their total forest cover? (a) MP, Arunachal Pradesh, Chhattisgarh (b) Arunachal Pradesh, MP, Chhattisgarh (c) MP, Chhattisgarh, Arunachal Pradesh (d) Chhattisgarh, MP, Arunachal Pradesh",Medium
2019,Prelims,Social Issues,Health,"Consider the following about Pradhan Mantri Jan Arogya Yojana (PM-JAY): 1. It provides health cover up to Rs 5 lakh per family per year. 2. Both public and private hospitals are empanelled. Which is/are correct?",Easy
2019,Mains,Governance,Digital Governance,"E-governance is not just about digitising services but transforming the nature of governance itself. Critically evaluate this statement with examples. (150 words)",Medium
2018,Prelims,Polity,Parliament,"Which of the following statements about 'Zero Hour' in Indian Parliament is correct? (a) It is mentioned in the Rules of Procedure (b) It allows members to raise urgent matters of public importance (c) It lasts for two hours (d) It was introduced by the Constitution",Easy
2018,Prelims,Economy,Trade,"Consider the following: With reference to 'special drawing rights (SDR)', issued by IMF: 1. SDR is an international reserve asset. 2. India is not a member of the SDR basket. Which is/are correct?",Hard
2018,Prelims,Environment,Pollution,"'Blue carbon' refers to carbon captured by: (a) Ocean and coastal ecosystems (b) Blue-green algae in freshwater lakes (c) Carbon stored in the upper atmosphere (d) Coal and other fossil fuels",Medium
2018,Mains,Social Issues,Women Empowerment,"Women empowerment is a necessary precondition for inclusive growth. Examine this statement with reference to India's development goals. (250 words)",Medium
2017,Prelims,Science & Tech,Nuclear Technology,"India's 'Thorium-based nuclear programme' is significant because: 1. India has large thorium reserves. 2. Thorium reactors produce less long-lived nuclear waste. Which of the above is/are correct?",Hard
2017,Prelims,International Relations,India-China Relations,"The 'String of Pearls' strategy attributed to China refers to: (a) A series of naval bases and commercial ports developed by China across the Indian Ocean Region (b) China's agricultural policy (c) China's island-building strategy in the South China Sea (d) A cultural exchange programme",Medium
2017,Mains,Polity,Decentralisation,"Examine the role of Gram Sabhas in strengthening grassroots democracy in India. What are the challenges they face? (150 words)",Medium
2016,Prelims,Geography,Disaster Management,"Which of the following is correct about 'El Niño'? 1. It is caused by warming of the central and eastern tropical Pacific Ocean. 2. It typically reduces monsoon rainfall in India. Select the correct answer.",Medium
2016,Prelims,Economy,Public Finance,"'Fiscal Responsibility and Budget Management (FRBM) Act' was enacted to: (a) Reduce fiscal deficit to 3% of GDP (b) Eliminate revenue deficit (c) Both (a) and (b) (d) Restrict government borrowing from RBI",Easy
2016,Mains,International Relations,Foreign Policy,"India's neighbourhood first policy has yielded mixed results. Critically analyse India's relations with its neighbours in light of this policy. (250 words)",Hard
